t_seg,v_seg,t_filt,v_filt,t_pks,v_pks,
5.001000e-07,-2.760000e-01,5.001000e-07,-2.461281e-01,1.229300e-06,-1.063221e-01,
5.002000e-07,-2.760000e-01,5.002000e-07,-2.462333e-01,1.236300e-06,-2.304945e-01,
5.003000e-07,-2.760000e-01,5.003000e-07,-2.463385e-01,1.241800e-06,-1.758009e-01,
5.004000e-07,-2.880000e-01,5.004000e-07,-2.464434e-01,1.253200e-06,-2.842209e-01,
5.005000e-07,-2.880000e-01,5.005000e-07,-2.465479e-01,1.270700e-06,-1.785666e-01,
5.006000e-07,-2.880000e-01,5.006000e-07,-2.466519e-01,1.280600e-06,-2.500308e-01,
5.007000e-07,-2.760000e-01,5.007000e-07,-2.467554e-01,1.293500e-06,-8.706600e-02,
5.008000e-07,-2.760000e-01,5.008000e-07,-2.468585e-01,1.319400e-06,-3.021691e-01,
5.009000e-07,-2.760000e-01,5.009000e-07,-2.469611e-01,1.349200e-06,-1.183511e-01,
5.010000e-07,-2.760000e-01,5.010000e-07,-2.470630e-01,1.376400e-06,-2.913547e-01,
5.011000e-07,-2.760000e-01,5.011000e-07,-2.471642e-01,1.403900e-06,-1.525424e-01,
5.012000e-07,-2.760000e-01,5.012000e-07,-2.472646e-01,1.439600e-06,-2.421968e-01,
5.013000e-07,-2.880000e-01,5.013000e-07,-2.473640e-01,1.477900e-06,-2.003963e-01,
5.014000e-07,-2.880000e-01,5.014000e-07,-2.474622e-01,1.545400e-06,-2.568030e-01,
5.015000e-07,-3.000000e-01,5.015000e-07,-2.475591e-01,1.659300e-06,-7.873863e-02,
5.016000e-07,-2.880000e-01,5.016000e-07,-2.476545e-01,1.700100e-06,-2.138984e-01,
5.017000e-07,-2.880000e-01,5.017000e-07,-2.477486e-01,1.760500e-06,-8.593006e-02,
5.018000e-07,-2.760000e-01,5.018000e-07,-2.478414e-01,1.778800e-06,-1.897355e-01,
5.019000e-07,-2.880000e-01,5.019000e-07,-2.479329e-01,1.810100e-06,-8.370551e-02,
5.020000e-07,-2.880000e-01,5.020000e-07,-2.480230e-01,1.862000e-06,-1.949880e-01,
5.021000e-07,-2.760000e-01,5.021000e-07,-2.481117e-01,1.891700e-06,-3.669949e-02,
5.022000e-07,-2.640000e-01,5.022000e-07,-2.481992e-01,1.909800e-06,-1.913366e-01,
5.023000e-07,-2.640000e-01,5.023000e-07,-2.482856e-01,1.924700e-06,-7.992500e-02,
5.024000e-07,-2.640000e-01,5.024000e-07,-2.483709e-01,1.956100e-06,-1.540550e-01,
5.025000e-07,-2.760000e-01,5.025000e-07,-2.484550e-01,1.972900e-06,-8.135454e-02,
5.026000e-07,-2.760000e-01,5.026000e-07,-2.485377e-01,2.004100e-06,-1.425901e-01,
5.027000e-07,-2.760000e-01,5.027000e-07,-2.486191e-01,2.019700e-06,-5.453745e-02,
5.028000e-07,-2.760000e-01,5.028000e-07,-2.486989e-01,2.064200e-06,-1.505342e-01,
5.029000e-07,-2.760000e-01,5.029000e-07,-2.487773e-01,2.105200e-06,-9.576623e-02,
5.030000e-07,-2.880000e-01,5.030000e-07,-2.488541e-01,2.128200e-06,-1.315056e-01,
5.031000e-07,-2.880000e-01,5.031000e-07,-2.489291e-01,2.154000e-06,-7.659211e-02,
5.032000e-07,-2.760000e-01,5.032000e-07,-2.490024e-01,2.202300e-06,-1.203099e-01,
5.033000e-07,-2.640000e-01,5.033000e-07,-2.490742e-01,2.268900e-06,-3.196957e-02,
5.034000e-07,-2.640000e-01,5.034000e-07,-2.491447e-01,2.313800e-06,-7.044406e-02,
5.035000e-07,-2.760000e-01,5.035000e-07,-2.492139e-01,2.373500e-06,2.323557e-02,
5.036000e-07,-2.760000e-01,5.036000e-07,-2.492818e-01,2.414100e-06,-1.723009e-02,
5.037000e-07,-2.760000e-01,5.037000e-07,-2.493484e-01,2.474000e-06,3.046285e-02,
5.038000e-07,-2.760000e-01,5.038000e-07,-2.494136e-01,2.496500e-06,-4.131681e-02,
